Date & Time,SKU,Name,Brand,Average Rating,Rating Count,Sponsered,Price,Sales Price,Express,Rank,Link
2024-12-21 17:32:38,ZAB57DC624A6EE9AFFB80Z,"Sweet seven Women's Non-Slip Pilates Socks with Grips - Perfect for Yoga, Ballet, Dance, and Barefoot Workouts - Anti-Skid Crew Socks - Set of 4 ",Sweet seven,NA,NA,N,NA,83.95,Y,106,https://www.noon.com/uae-en/women-s-non-slip-pilates-socks-with-grips-perfect-for-yoga-ballet-dance-and-barefoot-workouts-anti-skid-crew-socks-set-of-4/ZAB57DC624A6EE9AFFB80Z/p/?o=zab57dc624a6ee9affb80z-1
2024-12-21 17:32:38,Z2900192DEE4F310FC919Z,"GROIC Yoga Mat Bag with Bottom Pocket,Exercise Yoga Mat Carrier Multi-Functional Storage Bag,Yoga Gym Bag,Yoga Mat Carrier Bag for Class Workout Park ",GROIC,4.0,1,N, ,55.65,Y,108,https://www.noon.com/uae-en/yoga-mat-bag-with-bottom-pocket-exercise-yoga-mat-carrier-multi-functional-storage-bag-yoga-gym-bag-yoga-mat-carrier-bag-for-class-workout-park/Z2900192DEE4F310FC919Z/p/?o=z2900192dee4f310fc919z-1
2024-12-21 17:32:38,Z99D0F066ABAAA43F903AZ,Align-Pilates Align-Pilates R8 Pro Reformer Platform Extender – Upgrade for Enhanced Stability & Support in Pilates Workouts ,Align-Pilates,NA,NA,N, ,375.25,N,105,https://www.noon.com/uae-en/align-pilates-r8-pro-reformer-platform-extender-upgrade-for-enhanced-stability-support-in-pilates-workouts/Z99D0F066ABAAA43F903AZ/p/?o=z99d0f066abaaa43f903az-1
2024-12-21 17:32:38,Z7918EF223E8946F8A08CZ,Generic 6 Pairs Anti Slip Yoga Socks For Women，Non Slip Socks Pilates Socks For Yoga，Pilates，Ballet，Dance，Workout ,Generic,5.0,2,N,NA,36,Y,103,https://www.noon.com/uae-en/6-pairs-anti-slip-yoga-socks-for-women-non-slip-socks-pilates-socks-for-yoga-pilates-ballet-dance-workout/Z7918EF223E8946F8A08CZ/p/?o=z7918ef223e8946f8a08cz-1
2024-12-21 17:32:38,ZCADEF018884B7A285E7EZ,Generic The World's Best Eco Friendly Non Slip Yoga Mat With The ORIGINAL Unique Alignment Marker System Biodegradable Mat Made With Natural Rubber  A Warrior like Grip ,Generic,NA,NA,N, ,159.60,Y,101,https://www.noon.com/uae-en/the-world-s-best-eco-friendly-non-slip-yoga-mat-with-the-original-unique-alignment-marker-system-biodegradable-mat-made-with-natural-rubber-a-warrior-like-grip/ZCADEF018884B7A285E7EZ/p/?o=zcadef018884b7a285e7ez-1
2024-12-21 17:32:38,Z0BBD9C7C83B7E8DF4FD6Z,"RIGID FITNESS Microfiber Gym Towel - Face Towel, Yoga Towel - Quick Dry & High Absorbent Sweat Towel For Gym Exercises and Outdoor - Thick 400Gsm - 75x35cm-Grey ",RIGID FITNESS,4.1,20,N,NA,45.75,N,102,https://www.noon.com/uae-en/microfiber-gym-towel-face-towel-yoga-towel-quick-dry-high-absorbent-sweat-towel-for-gym-exercises-and-outdoor-thick-400gsm-75x35cm-grey/Z0BBD9C7C83B7E8DF4FD6Z/p/?o=f433e986d29277cf
2024-12-21 17:32:38,Z538D19FE4FEBB09B4BC8Z,"GROIC Yoga Mat Tote Bag, Yoga Canvas Workout Bag with Yoga Mat Carrier Binding Rope,Canvas Yoga Bag,Gym Bag with Yoga Mat Holder ",GROIC,5.0,2,N, ,62.35,Y,100,https://www.noon.com/uae-en/yoga-mat-tote-bag-yoga-canvas-workout-bag-with-yoga-mat-carrier-binding-rope-canvas-yoga-bag-gym-bag-with-yoga-mat-holder/Z538D19FE4FEBB09B4BC8Z/p/?o=z538d19fe4febb09b4bc8z-1
2024-12-21 17:32:38,N48547358A,limodo Anti-Tear Exercise Mat With Carrying Strap 60x15cm ,limodo,4.9,16,N, ,33.45,Y,99,https://www.noon.com/uae-en/anti-tear-exercise-mat-with-carrying-strap-60x15cm/N48547358A/p/?o=a73e68c31e339e8c
2024-12-21 17:32:38,Z7DD29A3780D77ACC9012Z,Longchamp Le Pliage Original Large Paper White Women's Handbag L1899089P71 ,Longchamp,NA,NA,N,NA,165,Y,98,https://www.noon.com/uae-en/le-pliage-original-large-paper-white-women-s-handbag-l1899089p71/Z7DD29A3780D77ACC9012Z/p/?o=z7dd29a3780d77acc9012z-1
2024-12-21 17:32:38,ZB78840EF57490BD48D7BZ,Generic Round Massager Roller For Waist Abdominal Muscles Ring Leg Clip Stovepipe To Clear The Meridian Portable Cellulite Massage ,Generic,NA,NA,N,NA,140,Y,95,https://www.noon.com/uae-en/round-massager-roller-for-waist-abdominal-muscles-ring-leg-clip-stovepipe-to-clear-the-meridian-portable-cellulite-massage/ZB78840EF57490BD48D7BZ/p/?o=zb78840ef57490bd48d7bz-1
